r (Ang), PDF (RMC), PDF (Expt)
   5.3600000000000003       ,    4.6258589710286159E-002  ,    4.3254600484580311E-002
   5.3799999999999999       ,    8.1792119110530664E-002  ,    6.1197995503642050E-002
   5.4000000000000004       ,    7.8451084480635896E-002  ,    7.7528912829765081E-002
   5.4199999999999999       ,    8.7392456377294203E-002  ,    8.8746283755414213E-002
   5.4400000000000004       ,    7.2242964831447126E-002  ,    9.2574924770444003E-002
   5.4600000000000000       ,    9.1067176172528394E-002  ,    8.8326384232198754E-002
   5.4800000000000004       ,    4.8202338017893420E-002  ,    7.6832375261096264E-002
   5.5000000000000000       ,    4.5346114826296503E-002  ,    6.0024860410112409E-002
   5.5200000000000005       ,    1.1389069748823324E-002  ,    4.0326245292773212E-002
   5.5400000000000000       ,    4.2182194095047969E-002  ,    2.0047676727413200E-002
   5.5600000000000005       ,    1.6593223310986265E-002  ,    9.6683627050395322E-004
   5.5800000000000001       ,    1.5890582181716354E-002  ,   -1.5819102015322273E-002
   5.6000000000000005       ,    1.1711227378354817E-002  ,   -2.9768535199658795E-002
   5.6200000000000001       ,   -4.2373668022047797E-002  ,   -4.0592051270946845E-002
   5.6399999999999997       ,   -6.3841416293374406E-002  ,   -4.7918371393489784E-002
   5.6600000000000001       ,   -5.8924557467175259E-002  ,   -5.1080053871462090E-002
   5.6799999999999997       ,   -4.6274306949432298E-002  ,   -4.9121485959012487E-002
   5.7000000000000002       ,   -1.2935287326528086E-002  ,   -4.1049770694890429E-002
   5.7199999999999998       ,   -3.9995822661247307E-002  ,   -2.6259906961307720E-002
   5.7400000000000002       ,    1.6182791256724883E-002  ,   -4.9976376139632380E-003
   5.7599999999999998       ,   -2.1476799810891522E-002  ,    2.1301960077966534E-002
   5.7800000000000002       ,    4.1255923886233295E-002  ,    4.9936453875481374E-002
   5.7999999999999998       ,    3.8242575894161732E-002  ,    7.7185795081421454E-002
   5.8200000000000003       ,   0.10300926188490854       ,    9.8864889647476556E-002
   5.8399999999999999       ,    8.8646839871370620E-002  ,   0.11106623015462069     
   5.8600000000000003       ,   0.12225539755207386       ,   0.11092199970636925     
   5.8799999999999999       ,    8.9530554090556450E-002  ,    9.7203898615458292E-002
   5.9000000000000004       ,    9.9075428141149807E-002  ,    7.0617214709327941E-002
